,Time_Period,date,rows,MAE,MSE,RMSE,MAPE,R2,completeness,status,status_text
0,2017-01-01,2017-01-01,144,5.247263,33.57017,5.7939773,15.160905,-2.43819654002301,1.0,1,normal
1,2017-01-02,2017-01-02,144,5.373927116394043,39.8817138671875,6.315196990966797,12.81890869140625,0.6879119604487378,1.0,1,normal
2,2017-01-03,2017-01-03,144,1.70135760307312,5.058974266052246,2.249216318130493,4.928602695465088,0.8446101819499057,1.0,1,normal
3,2017-01-04,2017-01-04,144,1.2602628469467163,3.552435874938965,1.8847906589508057,3.7883803844451904,0.9338178642635024,1.0,1,normal
4,2017-01-05,2017-01-05,144,2.0882773399353027,7.307938575744629,2.703320026397705,5.871728420257568,0.7049729594366885,1.0,1,normal
5,2017-01-06,2017-01-06,144,3.5093624591827397,19.961944580078125,4.467879295349121,6.66124963760376,0.8752618417721225,1.0,1,normal
6,2017-01-07,2017-01-07,144,4.671125411987305,28.158536911010746,5.306461811065674,8.364607810974121,-0.0736610885277402,1.0,1,normal
7,2017-01-08,2017-01-08,144,3.0034494400024414,20.54253387451172,4.5323872566223145,6.851800441741943,0.4290061303612923,1.0,1,normal
8,2017-01-09,2017-01-09,144,3.5741703510284424,19.185606002807617,4.3801374435424805,11.097688674926758,0.2967463165926283,1.0,1,normal
9,2017-01-10,2017-01-10,144,3.8022031784057617,29.75174903869629,5.454516410827637,8.737090110778809,0.8283888827398874,1.0,1,normal
10,2017-01-11,2017-01-11,144,4.245111465454102,26.87906646728516,5.184502601623535,9.834965705871582,0.6363653476240743,1.0,1,normal
11,2017-01-12,2017-01-12,144,2.704420328140259,13.461350440979004,3.668971300125122,6.061830520629883,0.7111745540971448,1.0,1,normal
12,2017-01-13,2017-01-13,144,2.68161678314209,10.36153793334961,3.218934297561645,7.473507404327393,0.8212349468374728,1.0,1,normal
13,2017-01-14,2017-01-14,144,4.059972763061523,21.71722984313965,4.66017484664917,11.195674896240234,0.863482542541775,1.0,1,normal
14,2017-01-15,2017-01-15,144,3.433486223220825,17.172807693481445,4.144008636474609,10.501904487609863,0.648854153192426,1.0,1,normal
15,2017-01-16,2017-01-16,144,2.2739920616149902,7.843887329101562,2.800693988800049,7.532015323638916,0.7054659936243619,1.0,1,normal
16,2017-01-17,2017-01-17,144,3.73036527633667,20.901912689208984,4.5718607902526855,11.662734985351562,-0.5070305796186196,1.0,1,normal
17,2017-01-18,2017-01-18,144,3.819488048553467,25.0157470703125,5.001574516296387,13.045698165893556,-0.9760179366590662,1.0,1,normal
18,2017-01-19,2017-01-19,144,5.693620681762695,49.36344909667969,7.025912761688232,15.993499755859377,-0.1029844037304692,1.0,1,normal
19,2017-01-20,2017-01-20,144,3.5447778701782227,19.386449813842773,4.4030046463012695,9.27164363861084,0.780119693417317,1.0,1,normal
20,2017-01-21,2017-01-21,144,2.588841438293457,12.527528762817385,3.5394248962402344,6.913320541381836,0.8561832352108962,1.0,1,normal
21,2017-01-22,2017-01-22,144,2.1165335178375244,7.075950145721436,2.6600658893585205,6.318935871124268,0.9166165095550796,1.0,1,normal
22,2017-01-23,2017-01-23,144,1.218500018119812,2.3498048782348637,1.5329073667526243,4.500744342803955,0.9384551347633656,1.0,1,normal
23,2017-01-24,2017-01-24,144,1.274702072143555,3.1571154594421387,1.776827335357666,3.981541156768799,0.9430520248146936,1.0,1,normal
24,2017-01-25,2017-01-25,144,0.9617445468902588,1.6804311275482178,1.2963144779205322,3.378721237182617,0.9653782197026876,1.0,-1,anomaly
