,Time_Period,rows,MAE,MSE,RMSE,MAPE,R2,completeness
0,2017-01-01,144,5.247263,33.57017,5.7939773,15.160905,-2.43819654002301,1.0
1,2017-01-02,144,5.373927116394043,39.8817138671875,6.315196990966797,12.81890869140625,0.6879119604487378,1.0
2,2017-01-03,144,1.7013576030731201,5.058974266052246,2.249216318130493,4.928602695465088,0.8446101819499057,1.0
3,2017-01-04,144,1.2602628469467163,3.552435874938965,1.8847906589508057,3.7883803844451904,0.9338178642635023,1.0
4,2017-01-05,144,2.0882773399353027,7.307938575744629,2.703320026397705,5.871728420257568,0.7049729594366885,1.0
5,2017-01-06,144,3.5093624591827393,19.961944580078125,4.467879295349121,6.66124963760376,0.8752618417721225,1.0
6,2017-01-07,144,4.671125411987305,28.158536911010742,5.306461811065674,8.364607810974121,-0.07366108852774023,1.0
7,2017-01-08,144,3.0034494400024414,20.54253387451172,4.5323872566223145,6.851800441741943,0.4290061303612923,1.0
8,2017-01-09,144,3.5741703510284424,19.185606002807617,4.3801374435424805,11.097688674926758,0.2967463165926283,1.0
9,2017-01-10,144,3.8022031784057617,29.75174903869629,5.454516410827637,8.737090110778809,0.8283888827398874,1.0
10,2017-01-11,144,4.245111465454102,26.879066467285156,5.184502601623535,9.834965705871582,0.6363653476240743,1.0
11,2017-01-12,144,2.704420328140259,13.461350440979004,3.668971300125122,6.061830520629883,0.7111745540971448,1.0
12,2017-01-13,144,2.68161678314209,10.36153793334961,3.2189342975616455,7.473507404327393,0.8212349468374728,1.0
13,2017-01-14,144,4.059972763061523,21.71722984313965,4.66017484664917,11.195674896240234,0.863482542541775,1.0
14,2017-01-15,144,3.433486223220825,17.172807693481445,4.144008636474609,10.501904487609863,0.648854153192426,1.0
15,2017-01-16,144,2.2739920616149902,7.8438873291015625,2.800693988800049,7.532015323638916,0.7054659936243619,1.0
16,2017-01-17,144,3.73036527633667,20.901912689208984,4.5718607902526855,11.662734985351562,-0.5070305796186196,1.0
17,2017-01-18,144,3.819488048553467,25.0157470703125,5.001574516296387,13.045698165893555,-0.9760179366590662,1.0
18,2017-01-19,144,5.693620681762695,49.36344909667969,7.025912761688232,15.993499755859375,-0.10298440373046924,1.0
19,2017-01-20,144,3.5447778701782227,19.386449813842773,4.4030046463012695,9.27164363861084,0.780119693417317,1.0
20,2017-01-21,144,2.588841438293457,12.527528762817383,3.5394248962402344,6.913320541381836,0.8561832352108962,1.0
21,2017-01-22,144,2.1165335178375244,7.0759501457214355,2.6600658893585205,6.318935871124268,0.9166165095550796,1.0
22,2017-01-23,144,1.218500018119812,2.3498048782348633,1.5329073667526245,4.500744342803955,0.9384551347633656,1.0
23,2017-01-24,144,1.2747020721435547,3.1571154594421387,1.776827335357666,3.981541156768799,0.9430520248146935,1.0
24,2017-01-25,144,0.9617445468902588,1.6804311275482178,1.2963144779205322,3.378721237182617,0.9653782197026877,1.0
25,2017-01-26,144,3.422031879425049,18.871591567993164,4.344144344329834,7.244070529937744,0.9200375679019261,1.0
26,2017-01-27,144,0.4560285806655884,0.37698137760162354,0.6139881014823914,1.84934663772583,0.9464759129259278,1.0
27,2017-01-28,144,2.4213948249816895,16.58121681213379,4.0720038414001465,6.765263557434082,0.8356995189000052,1.0
28,2017-01-29,144,1.9760695695877075,7.096597671508789,2.6639440059661865,6.057564735412598,0.7566876521473378,1.0
29,2017-01-30,144,1.9790081977844238,6.276170253753662,2.5052285194396973,5.747391223907471,0.8750761151538115,1.0
30,2017-01-31,134,2.559690475463867,10.278421401977539,3.2059977054595947,5.760806083679199,0.5559346907857623,0.9305555555555556
31,2017-02-01,144,2.914365530014038,17.045644760131836,4.128637313842773,7.616987228393555,0.6978117037581737,1.0
32,2017-02-02,144,8.258061408996582,81.16807556152344,9.009332656860352,15.654304504394531,0.23298483951011395,1.0
33,2017-02-03,144,5.85912561416626,39.37633514404297,6.2750563621521,12.182106018066406,-0.6505010700157892,1.0
34,2017-02-04,144,6.811659812927246,56.26025390625,7.500683784484863,11.852386474609375,0.25709682347702745,1.0
35,2017-02-05,144,6.986924648284912,58.87907028198242,7.673269748687744,11.05155086517334,0.30249869060918744,1.0
36,2017-02-06,144,2.6909327507019043,13.906414031982422,3.729130506515503,7.4816694259643555,0.7071046336009881,1.0
37,2017-02-07,144,7.224791526794434,73.93887329101562,8.598772048950195,15.751483917236328,0.11187776631349877,1.0
38,2017-02-08,144,4.9891438484191895,33.96586608886719,5.828024387359619,10.698616027832031,0.5028343631103828,1.0
39,2017-02-09,144,8.561405181884766,86.23271942138672,9.286157608032227,17.349729537963867,-0.2378759750265229,1.0
40,2017-02-10,144,3.6052660942077637,20.04235076904297,4.476868629455566,9.218086242675781,0.6658960283245465,1.0
41,2017-02-11,144,7.069544315338135,55.79077911376953,7.469322681427002,12.941688537597656,-0.678006090088425,1.0
42,2017-02-12,144,4.270910263061523,24.1644287109375,4.9157328605651855,7.157702922821045,0.20680903346137536,1.0
43,2017-02-13,144,6.1570000648498535,53.56081771850586,7.318525791168213,11.957283973693848,0.5773670262937496,1.0
44,2017-02-14,144,8.091975212097168,88.09349060058594,9.38581371307373,17.229965209960938,-0.35797763592171505,1.0
45,2017-02-15,144,5.7279372215271,37.35888671875,6.112191677093506,9.318269729614258,0.10300344404780026,1.0
46,2017-02-16,144,3.646744966506958,18.699886322021484,4.324336528778076,6.534369945526123,-0.2279339047964959,1.0
47,2017-02-17,144,5.584321022033691,35.8819580078125,5.990155220031738,11.873841285705566,-1.0788109425029164,1.0
